Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Sell,2024-04-18 10:30:00-04:00,183.0299988,0,0,0,105233.2327,Sell Hold,105408.7585,12,17,,0.415911286,0.962810701,175.5257688,0.7,,0.415911286,0.962810701
Short Sell,2024-04-18 10:30:00-04:00,183.0299988,546,0,99934.37933,36.71885681,Sell Hold,99971.09819,12,17,0,0.415911286,0.962810701,,,0,0.415911286,0.962810701
Short Sell,2024-04-18 11:30:00-04:00,182.4149933,548,29.0369873,99963.41632,7.681869507,Sell Hold,100000.1352,12,17,0.029056054,0.415911286,0.962810701,,,0.029056054,0.415911286,0.962810701
Short Sell,2024-04-18 12:30:00-04:00,181.1999969,551,-122.2180023,99841.19832,158.9368591,Sell Hold,99877.91718,12,17,-0.122262731,0.415911286,0.962810701,,,-0.122262731,0.415911286,0.962810701
Short Sell,2024-04-18 13:30:00-04:00,180.9600067,551,-132.2346191,99708.9637,168.953476,Sell Hold,99745.68256,12,17,-0.132444944,0.415911286,0.962810701,,,-0.132444944,0.415911286,0.962810701
Short Sell,2024-04-18 14:30:00-04:00,181.4700012,549,-81.93302917,99627.03067,118.651886,Sell Hold,99663.74953,12,17,-0.08217218,0.415911286,0.962810701,,,-0.08217218,0.415911286,0.962810701
Short Sell,2024-04-18 15:30:00-04:00,181.2299957,549,-131.7630157,99495.26765,168.4818726,Sell Hold,99531.98651,12,17,-0.132256291,0.415911286,0.962810701,,,-0.132256291,0.415911286,0.962810701
Short Sell,2024-04-19 09:30:00-04:00,182.7384949,544,-85.52644348,99409.74121,122.2453003,Sell Hold,99446.46007,12,17,-0.085960313,0.415911286,0.962810701,,,-0.085960313,0.415911286,0.962810701
Short Sell,2024-04-19 10:30:00-04:00,183.0899963,543,8.126800537,99417.86801,28.59205627,Sell Hold,99454.58687,12,17,0.008175055,0.415911286,0.962810701,,,0.008175055,0.415911286,0.962810701
Short Sell,2024-04-19 11:30:00-04:00,183.1649933,542,-142.4416504,99275.42636,179.1605072,Sell Hold,99312.14522,12,17,-0.143275704,0.415911286,0.962810701,,,-0.143275704,0.415911286,0.962810701
Short Sell,2024-04-19 12:30:00-04:00,184.3899994,538,-73.60668945,99201.81967,110.3255463,Sell Hold,99238.53853,12,17,-0.074143917,0.415911286,0.962810701,,,-0.074143917,0.415911286,0.962810701
Short Sell,2024-04-19 13:30:00-04:00,184.5599976,537,-93.10098267,99108.71869,129.8198395,Sell Hold,99145.43755,12,17,-0.093850076,0.415911286,0.962810701,,,-0.093850076,0.415911286,0.962810701
Short Sell,2024-04-19 14:30:00-04:00,184.8800049,536,-13.03607178,99095.68262,49.75492859,Sell Hold,99132.40147,12,17,-0.013153305,0.415911286,0.962810701,,,-0.013153305,0.415911286,0.962810701
Short Sell,2024-04-19 15:30:00-04:00,185.8000031,533,-64.2809906,99031.40163,100.9998474,Sell Hold,99068.12048,12,17,-0.0648676,0.415911286,0.962810701,,,-0.0648676,0.415911286,0.962810701
Short Sell,2024-04-22 09:30:00-04:00,187.6600037,527,-134.5796967,98896.82193,171.2985535,Sell Hold,98933.54079,12,17,-0.135895983,0.415911286,0.962810701,,,-0.135895983,0.415911286,0.962810701
Short Sell,2024-04-22 10:30:00-04:00,186.8350067,529,-61.1033783,98835.71855,97.82223511,Sell Hold,98872.43741,12,17,-0.061784977,0.415911286,0.962810701,,,-0.061784977,0.415911286,0.962810701
Short Sell,2024-04-22 11:30:00-04:00,187.9100037,526,4.943374634,98840.66193,31.77548218,Sell Hold,98877.38078,12,17,0.005001607,0.415911286,0.962810701,,,0.005001607,0.415911286,0.962810701
Short Sell,2024-04-22 12:30:00-04:00,188.9900055,523,1.110946655,98841.77287,35.60791016,Sell Hold,98878.49173,12,17,0.001123977,0.415911286,0.962810701,,,0.001123977,0.415911286,0.962810701
Short Sell,2024-04-22 13:30:00-04:00,190.0800018,520,-0.171920776,98841.60095,36.89077759,Sell Hold,98878.31981,12,17,-0.000173935,0.415911286,0.962810701,,,-0.000173935,0.415911286,0.962810701
Short Sell,2024-04-22 14:30:00-04:00,189.3300018,522,-11.33999634,98830.26096,48.05885315,Sell Hold,98866.97981,12,17,-0.011472898,0.415911286,0.962810701,,,-0.011472898,0.415911286,0.962810701
Short Sell,2024-04-22 15:30:00-04:00,189.5,521,-100.7609558,98729.5,137.4798126,Sell Hold,98766.21886,12,17,-0.101953546,0.415911286,0.962810701,,,-0.101953546,0.415911286,0.962810701
Short Sell,2024-04-23 09:30:00-04:00,191.1499939,516,-96.10314941,98633.39685,132.8220062,Sell Hold,98670.11571,12,17,-0.097339852,0.415911286,0.962810701,,,-0.097339852,0.415911286,0.962810701
Short Sell,2024-04-23 10:30:00-04:00,191.7799988,514,-58.47747803,98574.91937,95.19633484,Sell Hold,98611.63823,12,17,-0.059287706,0.415911286,0.962810701,,,-0.059287706,0.415911286,0.962810701
