Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage
Buy Hold,2024-04-10 13:30:00-04:00,194.8300018310547,548,-54.79498291015625,106766.84100341795,51.34617614746094,Buy Hold,106788.21952819824,12,17,-0.05129577206361443,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-10 14:30:00-04:00,195.4499969482422,548,339.75732421875,107106.59832763672,51.34617614746094,Buy Hold,107127.976852417,12,17,0.31822363668874293,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-10 15:30:00-04:00,195.42999267578125,548,-10.96234130859375,107095.63598632812,51.34617614746094,Buy Hold,107117.0145111084,12,17,-0.010234982232429968,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-11 09:30:00-04:00,193.5500030517578,548,-1030.2343139648438,106065.40167236328,51.34617614746094,Buy Hold,106086.78019714355,12,17,-0.9619759988132139,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-11 10:30:00-04:00,194.125,548,315.09832763671875,106380.5,51.34617614746094,Buy Hold,106401.87852478027,12,17,0.29707927624698915,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-11 11:30:00-04:00,194.3800048828125,548,139.74267578125,106520.24267578124,51.34617614746094,Buy Hold,106541.62120056152,12,17,0.13136117594976093,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-11 12:30:00-04:00,195.44000244140625,274,52969.68200683592,53550.56066894531,53601.90684509277,Buy Hold,107152.46751403809,12,17,0.5453223232671623,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-11 13:30:00-04:00,196.3000030517578,274,235.64016723632812,53786.20083618164,51.34617614746094,Buy Hold,107388.10768127441,12,17,100.88006610684464,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-11 14:30:00-04:00,196.0800018310547,274,-60.28033447265625,53725.920501708984,51.34617614746094,Buy Hold,107327.82734680176,12,17,99.77585204555993,0.4159112860771303,0.9628107010875327
Buy Hold,2024-04-11 15:30:00-04:00,195.3000030517578,274,-213.71966552734375,53512.20083618164,51.34617614746094,Buy Hold,107114.10768127441,12,17,99.2044076172858,0.4159112860771303,0.9628107010875327
