Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Short Sell - Buy,1518.300048828125,2023-01-13 13:15:00+05:30,1384.8499755859375,2023-04-13 15:15:00+05:30,98689.50317382812,94649.20166015624,4040.3015136718896,103125.0,79320.79858398438,0.0,19.62590140486209
Buy - Sell,1384.8499755859375,2023-04-13 15:15:00+05:30,1241.0,2023-04-19 11:15:00+05:30,94169.79833984376,84388.0,-9781.798339843765,94169.79833984376,83772.5966796875,0.0,0.0
Short Sell - Buy,1503.449951171875,2023-01-13 14:15:00+05:30,1232.3499755859375,2023-04-19 14:15:00+05:30,99227.69677734376,84061.5966796875,15166.100097656265,103125.0,79320.79858398438,0.0,20.061836402419296
Buy - Sell,1232.3499755859375,2023-04-19 14:15:00+05:30,1231.449951171875,2023-04-25 10:15:00+05:30,83799.79833984375,83738.5966796875,-61.20166015625,83799.79833984375,82983.79833984375,0.0,0.0
Short Sell - Buy,1503.9000244140625,2023-01-13 15:15:00+05:30,1230.0,2023-04-27 09:15:00+05:30,99257.40161132812,82232.44836425781,17024.953247070312,103125.0,79320.79858398438,0.0,20.08575955414534
Buy - Sell,1230.0,2023-04-27 09:15:00+05:30,1238.0,2023-04-27 11:15:00+05:30,82410.0,82946.0,536.0,82410.0,82386.55163574219,0.0,0.0
Short Sell - Buy,1515.9000244140625,2023-01-16 09:15:00+05:30,1272.75,2023-05-04 11:15:00+05:30,100049.40161132812,83714.40161132812,16335.0,103125.0,79320.79858398438,0.0,20.718367819799884
Buy - Sell,1272.75,2023-05-04 11:15:00+05:30,1257.0999755859375,2023-05-05 11:15:00+05:30,84001.5,82968.59838867188,-1032.901611328125,84084.0,83503.19677734375,0.09821253191907287,0.0
Short Sell - Buy,1522.8499755859375,2023-01-16 10:15:00+05:30,1260.1500244140625,2023-05-05 15:15:00+05:30,100508.09838867188,83160.0,17348.098388671875,103125.0,79320.79858398438,0.0,21.08019169037974
Buy - Sell,1260.1500244140625,2023-05-05 15:15:00+05:30,1271.1500244140625,2023-05-09 11:15:00+05:30,83169.90161132812,83895.90161132812,726.0,83820.0,83169.90161132812,0.7816510252830798,0.0
Short Sell - Buy,1517.449951171875,2023-01-16 11:15:00+05:30,1262.550048828125,2023-05-10 14:15:00+05:30,100151.69677734376,84580.80163574219,15570.895141601577,103125.0,79320.79858398438,0.0,20.799346255381405
Buy - Sell,1262.550048828125,2023-05-10 14:15:00+05:30,1258.3499755859375,2023-05-15 15:15:00+05:30,84590.85327148438,84309.44836425781,-281.4049072265625,84919.14672851562,83431.75,0.38809569159638435,0.0
Short Sell - Buy,1523.949951171875,2023-01-16 12:15:00+05:30,1243.800048828125,2023-05-17 11:15:00+05:30,100580.69677734376,85010.20166015625,15570.495117187515,103125.0,79320.79858398438,0.0,21.137155413053645
Buy - Sell,1243.800048828125,2023-05-17 11:15:00+05:30,1266.5999755859375,2023-05-19 10:15:00+05:30,85822.20336914062,87395.39831542969,1573.1949462890625,87533.39831542969,85756.64831542969,1.9938837260199762,0.0
Short Sell - Buy,1521.0,2023-01-16 13:15:00+05:30,1294.0,2023-05-25 09:15:00+05:30,100386.0,88345.5966796875,12040.4033203125,103125.0,79320.79858398438,0.0,20.984202394771806
Buy - Sell,1294.0,2023-05-25 09:15:00+05:30,1319.0,2023-05-26 10:15:00+05:30,89286.0,91011.0,1725.0,90707.39831542967,89275.64831542969,1.591961019005973,0.0
Short Sell - Buy,1526.0999755859375,2023-01-16 14:15:00+05:30,1312.949951171875,2023-05-30 10:15:00+05:30,100722.59838867188,91035.14831542967,9687.450073242202,103125.0,79320.79858398438,0.0,21.248260218726177
