Peak Date,Peak Total Cash,Peak Close Price,Minima Date,Minima Total Cash,Minima Close Price
2023-12-08 11:15:00+05:30,57738.36292,1482.349976,2023-12-08 12:15:00+05:30,57687.06384,1481
2023-12-11 11:15:00+05:30,59503.46289,1489.599976,2023-12-11 12:15:00+05:30,59429.36194,1487.699951
2023-12-11 13:15:00+05:30,59519.06384,1490,2023-12-11 14:15:00+05:30,59497.61194,1489.449951
2023-12-12 12:15:00+05:30,63342.26282,1474.599976,2023-12-12 13:15:00+05:30,63302.36487,1473.650024
2023-12-12 14:15:00+05:30,63409.46179,1476.199951,2023-12-13 11:15:00+05:30,61718.96179,1435.949951
2023-12-13 14:15:00+05:30,62098.14307,1449.099976,2023-12-13 15:15:00+05:30,62096.04358,1449
2023-12-15 10:15:00+05:30,65233.86487,1565,2023-12-15 11:15:00+05:30,65149.81287,1562.949951
2023-12-15 12:15:00+05:30,65170.31287,1563.449951,2023-12-15 13:15:00+05:30,65022.71387,1559.849976
2023-12-15 14:15:00+05:30,65840.66687,1579.800049,2023-12-18 09:15:00+05:30,65627.46387,1574.599976
2023-12-18 10:15:00+05:30,65674.61487,1575.75,2023-12-18 15:15:00+05:30,65114.96387,1562.099976
2023-12-19 09:15:00+05:30,66093.26282,1548.199951,2023-12-19 10:15:00+05:30,66053.36487,1547.25
2023-12-19 12:15:00+05:30,66660.26282,1561.699951,2023-12-19 15:15:00+05:30,66336.86487,1554
2023-12-20 09:15:00+05:30,66726.55237,1577.650024,2023-12-20 15:15:00+05:30,65694.26282,1536.400024
2023-12-21 09:15:00+05:30,65837.06384,1539.800049,2023-12-21 10:15:00+05:30,65713.16077,1536.849976
2023-12-21 12:15:00+05:30,65984.06384,1543.300049,2023-12-21 14:15:00+05:30,65614.46179,1534.5
2023-12-21 15:15:00+05:30,65847.56384,1540.050049,2023-12-22 09:15:00+05:30,65715.26282,1536.900024
2023-12-22 11:15:00+05:30,65765.34679,1545,2023-12-22 12:15:00+05:30,65754.84679,1544.5
2023-12-22 14:15:00+05:30,66095.04577,1560.699951,2023-12-22 15:15:00+05:30,66088.7473,1560.400024
2023-12-26 10:15:00+05:30,67660.35767,1546.099976,2023-12-26 13:15:00+05:30,67488.35767,1542.099976
2023-12-27 09:15:00+05:30,68303.21082,1561.050049,2023-12-27 12:15:00+05:30,68103.25977,1556.400024
2023-12-27 14:15:00+05:30,68324.19762,1568.449951,2023-12-28 11:15:00+05:30,67727.00977,1558.150024
2023-12-28 12:15:00+05:30,67961.35767,1563.599976,2023-12-28 13:15:00+05:30,67808.71082,1560.050049
2023-12-28 15:15:00+05:30,67920.50977,1562.650024,2023-12-29 10:15:00+05:30,67120.71082,1544.050049
2023-12-29 11:15:00+05:30,67161.55872,1545,2023-12-29 12:15:00+05:30,67094.90662,1543.449951
2023-12-29 13:15:00+05:30,67140.05872,1544.5,2023-12-29 14:15:00+05:30,66985.25977,1540.900024
2023-12-29 15:15:00+05:30,67054.05872,1542.5,2024-01-01 09:15:00+05:30,66978.80872,1540.75
2024-01-01 10:15:00+05:30,66998.58357,1547.449951,2024-01-01 11:15:00+05:30,66949.23409,1545.099976
2024-01-01 13:15:00+05:30,67157.1346,1555,2024-01-02 11:15:00+05:30,66578.58357,1527.449951
2024-01-02 14:15:00+05:30,66720.33357,1534.199951,2024-01-03 09:15:00+05:30,65984.28511,1499.150024
2024-01-03 11:15:00+05:30,66050.43562,1502.300049,2024-01-03 14:15:00+05:30,65793.18562,1490.050049
2024-01-04 09:15:00+05:30,66095.58357,1504.449951,2024-01-04 10:15:00+05:30,66088.23409,1504.099976
2024-01-04 12:15:00+05:30,66238.3846,1511.25,2024-01-04 13:15:00+05:30,66234.18562,1511.050049
2024-01-04 14:15:00+05:30,66287.73409,1513.599976,2024-01-04 15:15:00+05:30,66268.83357,1512.699951
2024-01-05 10:15:00+05:30,66740.28511,1535.150024,2024-01-05 11:15:00+05:30,66084.40662,1524.599976
2024-01-05 12:15:00+05:30,66320.90662,1530.099976,2024-01-05 13:15:00+05:30,66249.95557,1528.449951
2024-01-05 14:15:00+05:30,66484.30872,1533.900024,2024-01-08 10:15:00+05:30,65976.90662,1522.099976
2024-01-08 11:15:00+05:30,66045.70557,1523.699951,2024-01-08 12:15:00+05:30,65757.60767,1517
2024-01-08 13:15:00+05:30,66000.55872,1522.650024,2024-01-09 10:15:00+05:30,65376.70972,1544.050049
2024-01-09 11:15:00+05:30,65626.60767,1550,2024-01-09 14:15:00+05:30,64675.30664,1527.349976
2024-01-09 15:15:00+05:30,64757.20972,1529.300049,2024-01-10 09:15:00+05:30,64480.00562,1522.699951
2024-01-10 10:15:00+05:30,64572.40869,1524.900024,2024-01-10 13:15:00+05:30,64003.30664,1511.349976
2024-01-10 14:15:00+05:30,64366.60767,1520,2024-01-11 09:15:00+05:30,63568.60767,1501
2024-01-11 11:15:00+05:30,63673.60767,1503.5,2024-01-11 14:15:00+05:30,63152.80664,1491.099976
2024-01-12 11:15:00+05:30,67760.20972,1610.849976,2024-01-12 12:15:00+05:30,67598.51074,1607
2024-01-12 13:15:00+05:30,67680.40869,1608.949951,2024-01-15 13:15:00+05:30,61187.81165,1650.900024
2024-01-15 14:15:00+05:30,61191.51074,1651,2024-01-16 09:15:00+05:30,60877.01074,1642.5
2024-01-16 10:15:00+05:30,60951.01074,1644.5,2024-01-17 12:15:00+05:30,57460.76074,1638.75
2024-01-17 13:15:00+05:30,57630.50989,1643.599976,2024-01-18 09:15:00+05:30,57422.2616,1637.650024
2024-01-18 10:15:00+05:30,57523.76245,1640.550049,2024-01-18 11:15:00+05:30,57466.0116,1638.900024
2024-01-18 12:15:00+05:30,57557.01074,1641.5,2024-01-18 13:15:00+05:30,55853.41077,1642.349976
2024-01-18 14:15:00+05:30,55865.30994,1642.699951,2024-01-23 09:15:00+05:30,48437.71301,1669.800049
2024-01-23 10:15:00+05:30,48439.16089,1669.849976,2024-01-23 11:15:00+05:30,48240.5116,1663
2024-01-23 12:15:00+05:30,48241.96301,1663.050049,2024-01-24 10:15:00+05:30,44567.56226,1650.150024
2024-01-24 11:15:00+05:30,44579.71094,1650.599976,2024-01-24 13:15:00+05:30,41476.0116,1658.5
2024-01-24 14:15:00+05:30,43442.11385,1677.949951,2024-01-25 09:15:00+05:30,43255.51473,1662.400024
2024-01-25 11:15:00+05:30,43394.71444,1674,2024-01-25 14:15:00+05:30,41798.50916,1665.199951
2024-01-25 15:15:00+05:30,41818.51038,1666,2024-01-29 10:15:00+05:30,41457.2616,1651.550049
2024-01-29 11:15:00+05:30,41618.51038,1658,2024-01-29 15:15:00+05:30,41524.76038,1654.25
2024-01-30 09:15:00+05:30,42220.66577,1685.650024,2024-01-30 14:15:00+05:30,41806.06519,1651.099976
2024-01-30 15:15:00+05:30,41834.86548,1653.5,2024-01-30 15:15:00+05:30,41446.00977,1653.5
2024-01-31 09:15:00+05:30,41474.76038,1654.650024,2024-01-31 15:15:00+05:30,36629.61084,1660.050049
2024-02-01 09:15:00+05:30,38269.95533,1672.099976,2024-02-01 11:15:00+05:30,38133.55506,1659.699951
2024-02-01 13:15:00+05:30,38146.75587,1660.900024,2024-02-01 14:15:00+05:30,36648.3103,1655.199951
2024-02-01 15:15:00+05:30,36689.01245,1657.050049,2024-02-02 09:15:00+05:30,35818.41138,1694.5
2024-02-02 10:15:00+05:30,35933.91138,1700,2024-02-02 12:15:00+05:30,34022.9104,1689.449951
2024-02-02 13:15:00+05:30,34131.91187,1694.900024,2024-02-05 09:15:00+05:30,34083.91138,1692.5
2024-02-05 11:15:00+05:30,34206.91187,1698.650024,2024-02-06 10:15:00+05:30,32811.31091,1714.599976
2024-02-06 13:15:00+05:30,33082.06091,1728.849976,2024-02-06 14:15:00+05:30,33076.3623,1728.550049
2024-02-06 15:15:00+05:30,33093.46045,1729.449951,2024-02-07 12:15:00+05:30,32386.66138,1692.25
2024-02-07 13:15:00+05:30,32494.01184,1697.900024,2024-02-07 14:15:00+05:30,32400.91138,1693
2024-02-08 09:15:00+05:30,32437.01184,1694.900024,2024-02-08 10:15:00+05:30,32243.21045,1684.699951
2024-02-08 12:15:00+05:30,32370.51184,1691.400024,2024-02-08 13:15:00+05:30,32359.1123,1690.800049
2024-02-08 15:15:00+05:30,32400.91138,1693,2024-02-09 12:15:00+05:30,31799.56091,1661.349976
2024-02-09 13:15:00+05:30,32147.18777,1675,2024-02-09 14:15:00+05:30,32100.38821,1669.800049
2024-02-12 09:15:00+05:30,32214.23733,1682.449951,2024-02-12 10:15:00+05:30,32204.78799,1681.400024
2024-02-12 12:15:00+05:30,32284.88821,1690.300049,2024-02-12 14:15:00+05:30,32190.38821,1679.800049
2024-02-12 15:15:00+05:30,32193.08755,1680.099976,2024-02-13 09:15:00+05:30,32142.23733,1674.449951
2024-02-13 10:15:00+05:30,32222.31091,1677.949951,2024-02-13 11:15:00+05:30,32042.76184,1668.5
2024-02-13 12:15:00+05:30,32192.8623,1676.400024,2024-02-13 13:15:00+05:30,32162.46277,1674.800049
2024-02-13 14:15:00+05:30,32418.96277,1688.300049,2024-02-14 11:15:00+05:30,31502.21277,1640.050049
2024-02-15 09:15:00+05:30,32525.2374,1680.949951,2024-02-15 11:15:00+05:30,32397.43784,1666.75
2024-02-16 09:15:00+05:30,32678.68784,1698,2024-02-16 09:15:00+05:30,32261.26184,1698
2024-02-20 11:15:00+05:30,45464.36121,1683.349976,2024-02-20 14:15:00+05:30,45167.81098,1687.400024
2024-02-20 15:15:00+05:30,45186.0113,1688.800049,2024-02-21 09:15:00+05:30,44863.61066,1664
2024-02-21 10:15:00+05:30,44868.16034,1664.349976,2024-02-21 11:15:00+05:30,44853.21003,1663.199951
2024-02-21 12:15:00+05:30,44854.5113,1663.300049,2024-02-21 13:15:00+05:30,44764.16034,1656.349976
2024-02-21 14:15:00+05:30,44836.96003,1661.949951,2024-02-22 09:15:00+05:30,44649.11066,1647.5
2024-02-22 11:15:00+05:30,44734.91034,1654.099976,2024-02-22 12:15:00+05:30,44732.96003,1653.949951
2024-02-22 14:15:00+05:30,45069.66034,1679.849976,2024-02-22 15:15:00+05:30,45067.71003,1679.699951
2024-02-23 09:15:00+05:30,45132.71003,1684.699951,2024-02-23 11:15:00+05:30,45057.31098,1678.900024
2024-02-23 11:15:00+05:30,45438.36121,1678.900024,2024-02-23 12:15:00+05:30,45311.45923,1674.199951
2024-02-23 14:15:00+05:30,45385.70923,1676.949951,2024-02-26 13:15:00+05:30,41609.31177,1660.050049
2024-02-26 14:15:00+05:30,41650.55933,1661.699951,2024-02-27 09:15:00+05:30,41514.31055,1656.25
2024-02-27 10:15:00+05:30,41575.55933,1658.699951,2024-02-27 11:15:00+05:30,41479.30994,1654.849976
2024-02-27 12:15:00+05:30,41518.317,1663.650024,2024-02-27 13:15:00+05:30,41463.11729,1659.050049
2024-02-28 09:15:00+05:30,41708.5167,1679.5,2024-02-28 10:15:00+05:30,41650.317,1674.650024
2024-02-28 11:15:00+05:30,42105.56116,1675.050049,2024-02-28 12:15:00+05:30,41924.31116,1667.800049
2024-02-28 13:15:00+05:30,42070.56055,1673.650024,2024-02-28 14:15:00+05:30,42005.56116,1671.050049
2024-02-28 15:15:00+05:30,42010.55994,1671.25,2024-02-29 11:15:00+05:30,40172.51111,1664.300049
2024-02-29 14:15:00+05:30,40462.91052,1676.400024,2024-03-01 09:15:00+05:30,40174.91052,1664.400024
2024-03-01 11:15:00+05:30,40300.91052,1669.650024,2024-03-01 14:15:00+05:30,39898.91052,1652.900024
2024-03-01 15:15:00+05:30,39920.51111,1653.800049,2024-03-04 11:15:00+05:30,39480.10876,1635.449951
2024-03-04 13:15:00+05:30,39553.30994,1638.5,2024-03-05 10:15:00+05:30,38775.70935,1606.099976
2024-03-05 12:15:00+05:30,38936.51111,1612.800049,2024-03-05 13:15:00+05:30,38745.70935,1604.849976
2024-03-05 14:15:00+05:30,38785.30994,1606.5,2024-03-06 11:15:00+05:30,38100.10876,1577.949951
2024-03-06 14:15:00+05:30,38769.16573,1618,2024-03-07 09:15:00+05:30,38733.16573,1615
2024-03-07 10:15:00+05:30,38877.16573,1627,2024-03-07 13:15:00+05:30,38680.36544,1610.599976
2024-03-07 14:15:00+05:30,38883.70935,1617.449951,2024-03-11 11:15:00+05:30,36914.36108,1602.150024
2024-03-11 13:15:00+05:30,36977.61108,1604.900024,2024-03-11 14:15:00+05:30,36839.61108,1598.900024
2024-03-12 11:15:00+05:30,37109.92164,1623.099976,2024-03-12 14:15:00+05:30,36983.97217,1611.650024
2024-03-12 15:15:00+05:30,37132.86108,1614.400024,2024-03-18 11:15:00+05:30,16173.16077,1617.150024
2024-03-18 12:15:00+05:30,16221.66052,1622,2024-03-19 09:15:00+05:30,15835.16028,1583.349976
2024-03-19 10:15:00+05:30,15842.16101,1584.050049,2024-03-19 11:15:00+05:30,15717.16101,1571.550049
2024-03-19 12:15:00+05:30,15762.66028,1576.099976,2024-03-19 14:15:00+05:30,15600.66077,1559.900024
2024-03-20 11:15:00+05:30,15676.16003,1567.449951,2024-03-20 14:15:00+05:30,15551.16003,1554.949951
2024-03-21 09:15:00+05:30,15595.9913,1561.949951,2024-03-21 11:15:00+05:30,15509.24142,1544.599976
2024-03-21 15:15:00+05:30,15563.74154,1555.5,2024-03-22 14:15:00+05:30,15321.49179,1507.050049
2024-03-22 15:15:00+05:30,15343.74154,1511.5,2024-03-26 11:15:00+05:30,15246.24154,1492
2024-03-26 12:15:00+05:30,15271.49179,1497.050049,2024-03-26 13:15:00+05:30,15253.24166,1493.400024
2024-03-26 14:15:00+05:30,15256.24154,1494,2024-03-26 15:15:00+05:30,15251.99166,1493.150024
