Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Short Sell,2024-06-04 11:30:00-04:00,631.5499878,161,0,101679.548,597.9637451,Sell Hold,102277.5118,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Short Sell,2024-06-04 12:30:00-04:00,631,162,542.4519653,102222,55.51177979,Sell Hold,102819.9637,12,17,0.533491716,0.498866494,3.49226357,,,0.533491716,0.498866494,3.49226357
Buy,2024-06-04 13:30:00-04:00,634.6300049,162,0,102810.0608,9.902954102,Buy,103408.0245,12,17,,0.498866494,3.49226357,719.6704255,0.7,,0.498866494,3.49226357
Buy Hold,2024-06-04 13:30:00-04:00,634.6300049,162,0,102810.0608,9.902954102,Buy Hold,103408.0245,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Buy Hold,2024-06-04 14:30:00-04:00,632.9000244,162,-280.2568359,102529.804,9.902954102,Buy Hold,103127.7677,12,17,-0.272596703,0.498866494,3.49226357,,,-0.272596703,0.498866494,3.49226357
Buy Hold,2024-06-04 15:30:00-04:00,631.460022,162,-233.2803955,102296.5236,9.902954102,Buy Hold,102894.4873,12,17,-0.227524472,0.498866494,3.49226357,,,-0.227524472,0.498866494,3.49226357
Buy Hold,2024-06-05 09:30:00-04:00,642.3649902,81,50264.95935,52031.56421,52041.46716,Buy Hold,104073.0314,12,17,1.726945156,0.498866494,3.49226357,,,-49.13652742,0.498866494,3.49226357
Buy Hold,2024-06-05 10:30:00-04:00,642.8599854,81,40.09460449,52071.65881,9.902954102,Buy Hold,104113.126,12,17,100.1541165,0.498866494,3.49226357,,,0.077058234,0.498866494,3.49226357
Buy Hold,2024-06-05 11:30:00-04:00,641.6099243,81,-101.2549438,51970.40387,9.902954102,Buy Hold,104011.871,12,17,99.61109384,0.498866494,3.49226357,,,-0.194453079,0.498866494,3.49226357
Sell,2024-06-05 11:30:00-04:00,641.6099243,0,0,0,103648.0782,Sell Hold,104011.871,12,17,,0.498866494,3.49226357,363.7928271,0.7,,0.498866494,3.49226357
Short Sell,2024-06-05 11:30:00-04:00,641.6099243,163,0,104582.4177,158.8637085,Sell Hold,104741.2814,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Short Sell,2024-06-05 12:30:00-04:00,643.0499878,162,-408.3196411,104174.098,567.1833496,Sell Hold,104332.9617,12,17,-0.390428573,0.498866494,3.49226357,,,-0.390428573,0.498866494,3.49226357
Short Sell,2024-06-05 13:30:00-04:00,644.6350098,161,-387.8614502,103786.2366,546.7251587,Sell Hold,103945.1003,12,17,-0.37232043,0.498866494,3.49226357,,,-0.37232043,0.498866494,3.49226357
Short Sell,2024-06-05 14:30:00-04:00,649.0100098,160,55.36499023,103841.6016,103.4987183,Sell Hold,104000.4653,12,17,0.053345214,0.498866494,3.49226357,,,0.053345214,0.498866494,3.49226357
Short Sell,2024-06-05 15:30:00-04:00,650.3699951,159,-432.7723389,103408.8292,591.6360474,Sell Hold,103567.6929,12,17,-0.416762003,0.498866494,3.49226357,,,-0.416762003,0.498866494,3.49226357
Short Sell,2024-06-06 09:30:00-04:00,655.9550171,157,-423.8915405,102984.9377,582.755249,Sell Hold,103143.8014,12,17,-0.409918131,0.498866494,3.49226357,,,-0.409918131,0.498866494,3.49226357
