Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Charge,% Diff,High Avg %,Low Avg %
Buy Hold,2024-03-19 15:15:00+05:30,1561.449951,10,15.49926758,15614.49951,31.16003418,Buy Hold,15616.16003,12,17,,0.099360647,0.366211997,23.23599605
Buy Hold,2024-03-20 09:15:00+05:30,1565.699951,10,42.5,15656.99951,31.16003418,Buy Hold,15658.66003,12,17,,0.272182915,0.366211997,23.23599605
Buy Hold,2024-03-20 10:15:00+05:30,1566.199951,10,5,15661.99951,31.16003418,Buy Hold,15663.66003,12,17,,0.031934599,0.366211997,23.23599605
Buy Hold,2024-03-20 11:15:00+05:30,1567.449951,10,12.5,15674.49951,31.16003418,Buy Hold,15676.16003,12,17,,0.07981101,0.366211997,23.23599605
Buy Hold,2024-03-20 12:15:00+05:30,1566.449951,10,-10,15664.49951,31.16003418,Buy Hold,15666.16003,12,17,,-0.06379789,0.366211997,23.23599605
Buy Hold,2024-03-20 13:15:00+05:30,1556.050049,10,-103.9990234,15560.50049,31.16003418,Buy Hold,15562.16101,12,17,,-0.663915393,0.366211997,23.23599605
Buy Hold,2024-03-20 14:15:00+05:30,1554.949951,10,-11.00097656,15549.49951,31.16003418,Buy Hold,15551.16003,12,17,,-0.07069809,0.366211997,23.23599605
Buy Hold,2024-03-20 15:15:00+05:30,1555.800049,10,8.500976563,15558.00049,31.16003418,Buy Hold,15559.66101,12,17,,0.054670419,0.366211997,23.23599605
Buy Hold,2024-03-21 09:15:00+05:30,1561.949951,5,7748.250732,7809.749756,7786.241542,Buy Hold,15595.9913,12,17,54.66824829,0.395288736,0.366211997,23.23599605
Buy Hold,2024-03-21 10:15:00+05:30,1558.050049,5,-19.49951172,7790.250244,31.16003418,Buy Hold,15576.49179,12,17,,99.50063671,0.366211997,23.23599605
Buy Hold,2024-03-21 11:15:00+05:30,1544.599976,5,-67.25036621,7722.999878,31.16003418,Buy Hold,15509.24142,12,17,,98.27347353,0.366211997,23.23599605
Buy Hold,2024-03-21 12:15:00+05:30,1550.150024,5,27.75024414,7750.750122,31.16003418,Buy Hold,15536.99166,12,17,,100.718639,0.366211997,23.23599605
Buy Hold,2024-03-21 13:15:00+05:30,1552.75,5,12.99987793,7763.75,31.16003418,Buy Hold,15549.99154,12,17,,100.3354483,0.366211997,23.23599605
Buy Hold,2024-03-21 14:15:00+05:30,1555.099976,5,11.74987793,7775.499878,31.16003418,Buy Hold,15561.74142,12,17,,100.3026856,0.366211997,23.23599605
Buy Hold,2024-03-21 15:15:00+05:30,1555.5,5,2.00012207,7777.5,31.16003418,Buy Hold,15563.74154,12,17,,100.0514468,0.366211997,23.23599605
Buy Hold,2024-03-22 09:15:00+05:30,1522.25,5,-166.25,7611.25,31.16003418,Buy Hold,15397.49154,12,17,,95.72484732,0.366211997,23.23599605
Buy Hold,2024-03-22 10:15:00+05:30,1520.300049,5,-9.749755859,7601.500244,31.16003418,Buy Hold,15387.74179,12,17,,99.74380671,0.366211997,23.23599605
Buy Hold,2024-03-22 11:15:00+05:30,1517.599976,5,-13.50036621,7587.999878,31.16003418,Buy Hold,15374.24142,12,17,,99.64479732,0.366211997,23.23599605
Buy Hold,2024-03-22 12:15:00+05:30,1515.150024,5,-12.24975586,7575.750122,31.16003418,Buy Hold,15361.99166,12,17,,99.6771282,0.366211997,23.23599605
Buy Hold,2024-03-22 13:15:00+05:30,1510.849976,5,-21.50024414,7554.249878,31.16003418,Buy Hold,15340.49142,12,17,,99.432393,0.366211997,23.23599605
Buy Hold,2024-03-22 14:15:00+05:30,1507.050049,5,-18.99963379,7535.250244,31.16003418,Buy Hold,15321.49179,12,17,,99.49698159,0.366211997,23.23599605
Buy Hold,2024-03-22 15:15:00+05:30,1511.5,5,22.24975586,7557.5,31.16003418,Buy Hold,15343.74154,12,17,,100.5905512,0.366211997,23.23599605
